,基金代码,基金简称,类型,2020-10-22-单位净值,2020-10-22-累计净值,2020-10-22-单位净值,2020-10-22-累计净值,增长值,增长率,市价,折价率
0,150012,国联安双禧A中证100指数行情,固定收益,---,---,1.0760,1.4730,---,---,1.0580,---
1,150013,国联安双禧B中证100指数行情,分级杠杆,---,---,1.5880,1.7130,---,---,1.5790,---
2,150018,银华稳进行情,固定收益,---,---,1.0360,1.5510,---,---,1.0250,---
3,150019,银华锐进行情,分级杠杆,---,---,1.7480,1.7480,---,---,1.7270,---
4,150022,申万菱信深证成指分级收益行情,固定收益,---,---,1.0903,1.5270,---,---,1.0600,---
5,150030,银华中证等权90指数金利行情,固定收益,---,---,1.0400,1.5510,---,---,1.0200,---
6,150031,银华中证等权90指数鑫利行情,分级杠杆,---,---,1.8420,0.5910,---,---,1.8030,---
7,150032,嘉实多利分级债券优先行情,固定收益,---,---,1.0285,1.4795,---,---,1.0250,---
8,150033,嘉实多利分级债券进取行情,分级杠杆,---,---,0.9575,1.2510,---,---,0.9310,---
9,150049,南方消费收益行情,固定收益,---,---,1.0290,1.5430,---,---,1.0110,---
10,150050,南方消费进取行情,其他创新,---,---,2.1870,8.3480,---,---,2.1850,---
11,150095,泰信基本面400B行情,分级杠杆,---,---,1.2160,0.7940,---,---,1.3280,---
12,150148,信诚中证800医药指数分级A行情,固定收益,---,---,1.0400,1.3700,---,---,1.0190,---
13,150149,信诚中证800医药指数分级B行情,分级杠杆,---,---,1.6980,2.7280,---,---,1.6320,---
14,150028,信诚中证500指数分级A行情,固定收益,---,---,1.0340,1.5340,---,---,1.0090,---
15,150130,国泰国证医药卫生行业分级A行情,固定收益,---,---,1.0119,1.4244,---,---,0.9870,---
16,150131,国泰国证医药卫生行业分级B行情,分级杠杆,---,---,0.8605,3.2180,---,---,0.8880,---
17,159929,汇添富中证医药卫生ETF行情,ETF-场内,---,---,2.3300,2.3300,---,---,2.2970,---
18,159930,汇添富中证能源ETF行情,ETF-场内,---,---,0.6172,0.6172,---,---,0.6150,---
19,159931,汇添富中证金融地产ETF行情,ETF-场内,---,---,1.8430,1.8430,---,---,1.8360,---
20,159932,大成中证500深市ETF行情,ETF-场内,---,---,1.7900,1.5160,---,---,1.7880,---
21,150172,申万菱信申万证券分级B行情,分级杠杆,---,---,1.1220,---,---,---,1.2750,---
22,150169,汇添富恒生指数分级A行情,固定收益,---,---,1.0360,---,---,---,1.0210,---
23,150181,富国中证军工指数分级A行情,固定收益,---,---,1.0120,1.3160,---,---,0.9850,---
24,150182,富国中证军工指数分级B行情,分级杠杆,---,---,1.1400,2.1980,---,---,1.1820,---
25,150180,鹏华信息分级B行情,分级杠杆,---,---,1.1020,2.2090,---,---,1.1340,---
26,159936,广发中证全指可选消费ETF行情,ETF-场内,---,---,1.8463,1.8463,---,---,1.8400,---
27,150029,信诚中证500指数分级B行情,分级杠杆,---,---,1.7390,2.0250,---,---,1.7440,---
28,150051,信诚沪深300指数分级A行情,固定收益,---,---,1.0390,1.4530,---,---,1.0210,---
29,150052,信诚沪深300指数分级B行情,分级杠杆,---,---,1.2230,1.5930,---,---,1.2200,---
30,150094,泰信基本面400A行情,固定收益,---,---,1.0400,1.4600,---,---,1.0140,---
31,159912,汇添富深证300ETF行情,ETF-场内,---,---,1.8232,1.8232,---,---,1.8110,---
32,159913,交银深证300价值ETF行情,ETF-场内,---,---,2.3040,2.3040,---,---,2.2860,---
33,159916,深F60ETF行情,ETF-场内,---,---,5.2229,2.8456,---,---,5.1880,---
34,159918,嘉实中创400ETF行情,ETF-场内,---,---,1.9811,1.9811,---,---,2.0370,---
35,159923,大成中证100ETF行情,ETF-场内,---,---,2.1230,2.1230,---,---,2.1000,---
36,159925,南方沪深300ETF行情,ETF-场内,---,---,2.2375,1.9617,---,---,2.2320,---
37,159926,嘉实中证中期国债ETF行情,ETF-场内,---,---,113.3320,1.1330,---,---,114.2450,---
38,150123,建信央视50A行情,固定收益,---,---,1.0484,---,---,---,1.0290,---
39,150124,建信央视50B行情,分级杠杆,---,---,1.2914,---,---,---,1.2940,---
40,150171,申万菱信申万证券分级A行情,固定收益,---,---,1.0270,---,---,---,1.0000,---
41,159935,景顺长城中证500ETF行情,ETF-场内,---,---,1.8677,1.8677,---,---,1.8950,---
42,150168,银华沪深300指数分级B行情,分级杠杆,---,---,1.4860,---,---,---,1.4900,---
43,150157,信诚中证800金融指数分级A行情,固定收益,---,---,1.0400,1.3500,---,---,1.0260,---
44,150158,信诚中证800金融指数分级B行情,分级杠杆,---,---,1.2760,2.4240,---,---,1.2700,---
45,150186,申万菱信中证军工指数分级A行情,固定收益,---,---,1.0106,---,---,---,0.9830,---
46,150187,申万菱信中证军工指数分级B行情,分级杠杆,---,---,1.0738,---,---,---,1.1220,---
47,150179,鹏华信息分级A行情,固定收益,---,---,1.0300,1.3130,---,---,1.0030,---
48,150188,招商可转债分级债券A行情,固定收益,---,---,1.0380,1.3040,---,---,1.0270,---
49,150145,招商沪深300高贝塔分级A行情,固定收益,---,---,1.0425,1.3947,---,---,1.0450,---
50,150146,招商沪深300高贝塔分级B行情,分级杠杆,---,---,1.3159,1.3160,---,---,1.3750,---
51,150150,信诚中证800有色指数分级A行情,固定收益,---,---,1.0400,1.3670,---,---,1.0180,---
52,150151,信诚中证800有色指数分级B行情,分级杠杆,---,---,1.0500,1.2070,---,---,1.0580,---
53,159934,易方达黄金ETF行情,ETF-场内,---,---,3.9397,1.6050,---,---,3.9370,---
54,150152,富国创业板指数分级A行情,固定收益,---,---,1.0160,1.3860,---,---,0.9880,---
55,150153,富国创业板指数分级B行情,分级杠杆,---,---,1.2420,2.2550,---,---,1.2930,---
56,510010,交银上证180公司治理ETF行情,ETF-场内,---,---,1.3990,1.5570,---,---,1.3800,---
57,510020,博时上证超大盘ETF行情,ETF-场内,---,---,3.5022,1.2917,---,---,3.4710,---
58,510030,华宝上证180价值ETF行情,ETF-场内,---,---,6.1570,2.1080,---,---,6.1490,---
59,510050,华夏上证50ETF行情,ETF-场内,---,---,3.4300,4.6450,---,---,3.4200,---
60,510060,工银上证央企ETF行情,ETF-场内,---,---,2.0001,1.2793,---,---,1.9800,---
61,510090,建信责任ETF行情,ETF-场内,---,---,2.3053,2.7502,---,---,2.3010,---
62,510110,海富通上证周期ETF行情,ETF-场内,---,---,4.0930,1.6430,---,---,4.0560,---
63,510120,海富通上证非周期ETF行情,ETF-场内,---,---,4.0010,1.6850,---,---,3.9660,---
64,510130,中盘ETF行情,ETF-场内,---,---,5.0455,1.7354,---,---,5.0180,---
65,510150,招商上证消费80ETF行情,ETF-场内,---,---,8.6616,2.8547,---,---,8.6220,---
66,510160,中证南方小康产业指数ETF行情,ETF-场内,---,---,0.6608,1.6440,---,---,0.6620,---
67,510180,华安上证180ETF行情,ETF-场内,---,---,4.0225,4.2273,---,---,4.0110,---
68,510190,华安上证龙头ETF行情,ETF-场内,---,---,4.0560,1.5540,---,---,4.0200,---
69,510210,上证综指ETF行情,ETF-场内,---,---,4.6120,1.5780,---,---,4.5880,---
70,510220,华泰柏瑞上证中小盘ETF行情,ETF-场内,---,---,5.1273,1.4120,---,---,5.0860,---
71,510230,国泰上证180金融ETF行情,ETF-场内,---,---,1.1744,1.9716,---,---,1.1750,---
72,510270,中银上证国企100ETF行情,ETF-场内,---,---,1.2770,1.4900,---,---,1.2620,---
73,510500,南方中证500ETF行情,ETF-场内,---,---,6.9967,1.9613,---,---,6.9680,---
74,510880,华泰柏瑞上证红利ETF行情,ETF-场内,---,---,2.7209,2.3039,---,---,2.7070,---
75,513100,国泰纳斯达克100ETF行情,QDII-ETF,---,---,---,---,---,---,4.5560,---
76,150100,鹏华资源分级A行情,固定收益,---,---,1.0360,1.4090,---,---,1.0170,---
77,150101,鹏华资源分级B行情,分级杠杆,---,---,1.1980,0.2950,---,---,1.1840,---
78,150117,国泰国证房地产行业指数分级A行情,固定收益,---,---,1.0442,1.4632,---,---,1.0190,---
79,150118,国泰国证房地产行业指数分级B行情,分级杠杆,---,---,1.1170,2.4094,---,---,1.1300,---
80,159901,易方达深证100ETF行情,ETF-场内,---,---,7.0157,6.7752,---,---,6.9780,---
81,159902,华夏中小板ETF行情,ETF-场内,---,---,4.4480,4.5680,---,---,4.4320,---
82,159903,南方深证成份ETF行情,ETF-场内,---,---,1.5220,1.1230,---,---,1.5090,---
83,159905,工银深证红利ETF行情,ETF-场内,---,---,2.4391,2.4391,---,---,2.4350,---
84,159906,大成深证成长40ETF行情,ETF-场内,---,---,1.5390,1.5390,---,---,1.5200,---
85,159907,广发中小板300ETF行情,ETF-场内,---,---,1.7727,1.6106,---,---,1.7600,---
86,159908,博时创业板ETF行情,ETF-场内,---,---,2.3595,2.3595,---,---,2.3360,---
87,159909,招商深证TMT50ETF行情,ETF-场内,---,---,6.8719,2.1133,---,---,6.8600,---
88,159910,嘉实深证基本面120ETF行情,ETF-场内,---,---,2.3262,2.3262,---,---,2.3210,---
89,159922,嘉实中证500ETF行情,ETF-场内,---,---,6.9320,1.9436,---,---,6.8990,---
90,150192,鹏华地产分级A行情,固定收益,---,---,1.0360,1.2920,---,---,1.0160,---
91,150200,招商中证全指证券公司分级A行情,固定收益,---,---,1.0382,1.2839,---,---,1.0180,---
92,150208,招商沪深300地产等权重分级B行情,分级杠杆,---,---,0.8359,1.4373,---,---,0.9100,---
93,510290,南方上证380ETF行情,ETF-场内,---,---,1.8588,1.8588,---,---,1.8490,---
94,510300,华泰柏瑞沪深300ETF行情,ETF-场内,---,---,4.8585,1.9466,---,---,4.8420,---
95,510310,易方达沪深300发起式ETF行情,ETF-场内,---,---,2.1749,2.1749,---,---,2.1690,---
96,510330,华夏沪深300ETF行情,ETF-场内,---,---,4.8779,2.1908,---,---,4.8620,---
97,510410,博时上证自然资源ETF行情,ETF-场内,---,---,0.6401,0.6401,---,---,0.6360,---
98,510510,广发中证500ETF行情,ETF-场内,---,---,1.8522,1.8522,---,---,1.8420,---
99,159937,博时黄金ETF行情,ETF-场内,---,---,3.9704,1.5590,---,---,3.9680,---
100,150198,国泰国证食品饮料行业分级A行情,固定收益,---,---,1.0155,1.3425,---,---,0.9900,---
101,150199,国泰国证食品饮料行业分级B行情,分级杠杆,---,---,1.2941,4.5130,---,---,1.3150,---
102,150196,国泰国证有色金属行业分级A行情,固定收益,---,---,1.0442,1.3116,---,---,1.0170,---
103,150197,国泰国证有色金属行业分级B行情,分级杠杆,---,---,0.7246,0.2209,---,---,0.7280,---
104,150221,前海开源中航军工A行情,固定收益,---,---,1.0130,1.3700,---,---,0.9910,---
105,150222,前海开源中航军工B行情,分级杠杆,---,---,0.8090,0.2950,---,---,0.8260,---
106,150194,富国中证移动互联网指数分级A行情,固定收益,---,---,1.0130,1.2920,---,---,0.9860,---
107,150195,富国中证移动互联网指数分级B行情,分级杠杆,---,---,0.8630,2.1090,---,---,0.9210,---
108,150209,富国中证国有企业改革分级A行情,固定收益,---,---,1.0380,1.2750,---,---,1.0340,---
109,150210,富国中证国有企业改革分级B行情,分级杠杆,---,---,1.0400,1.4450,---,---,1.0240,---
110,159939,广发中证全指信息技术ETF行情,ETF-场内,---,---,1.4390,1.4390,---,---,1.4380,---
111,512990,华夏MSCIA股国际通ETF行情,ETF-场内,---,---,1.6070,1.6070,---,---,1.6030,---
112,150215,国泰深证TMT50指数分级A行情,固定收益,---,---,1.0127,1.2567,---,---,0.9870,---
113,150216,国泰深证TMT50指数分级B行情,分级杠杆,---,---,0.8549,0.5648,---,---,0.9240,---
114,150223,富国中证全指证券公司分级A行情,固定收益,---,---,1.0510,1.3310,---,---,1.0260,---
115,150224,富国中证全指证券公司分级B行情,分级杠杆,---,---,1.2750,0.0490,---,---,1.2920,---
116,150173,信诚中证TMT产业主题分级A行情,固定收益,---,---,1.0290,1.2790,---,---,1.0040,---
117,150174,信诚中证TMT产业主题分级B行情,分级杠杆,---,---,0.8570,2.0810,---,---,0.8770,---
118,150203,鹏华传媒分级A行情,固定收益,---,---,1.0400,1.2770,---,---,1.0120,---
119,150204,鹏华传媒分级B行情,分级杠杆,---,---,1.3380,1.4580,---,---,1.3600,---
120,150211,富国中证新能源汽车指数分级A行情,固定收益,---,---,1.0330,1.2850,---,---,1.0060,---
121,150212,富国中证新能源汽车指数分级B行情,分级杠杆,---,---,1.3210,0.4280,---,---,1.3560,---
122,159940,广发中证全指金融地产ETF行情,ETF-场内,---,---,1.1333,1.1333,---,---,1.1330,---
123,510630,华夏消费ETF行情,ETF-场内,---,---,5.0640,5.0640,---,---,5.0640,---
124,510650,上证金融地产发起式ETF行情,ETF-场内,---,---,2.0996,2.0996,---,---,2.1000,---
125,510660,华夏医药ETF行情,ETF-场内,---,---,3.0653,3.0653,---,---,3.0330,---
126,510680,万家上证50ETF行情,ETF-场内,---,---,3.0351,3.0351,---,---,3.0270,---
127,510900,易方达恒生国企ETF行情,QDII-ETF,---,---,1.1276,1.1776,---,---,1.1240,---
128,511010,国泰上证5年期国债ETF行情,ETF-场内,---,---,120.9030,1.2220,---,---,121.0010,---
129,511880,银华日利A行情,其他创新,---,---,101.6730,124.5760,---,---,101.6810,---
130,512010,易方达沪深300医药ETF行情,ETF-场内,---,---,2.8025,2.8025,---,---,2.7590,---
131,512120,华安中证细分医药ETF行情,ETF-场内,---,---,2.3340,2.3340,---,---,2.2890,---
132,513500,博时标普500ETF行情,QDII-ETF,---,---,---,---,---,---,2.1550,---
133,518800,国泰黄金ETF行情,ETF-场内,---,---,3.9336,1.4880,---,---,3.9310,---
134,150170,汇添富恒生指数分级B行情,分级杠杆,---,---,1.0540,1.0540,---,---,1.0360,---
135,150178,鹏华证券保险分级B行情,分级杠杆,---,---,0.8670,2.2590,---,---,0.9280,---
136,159920,华夏恒生ETF(QDII)行情,QDII-ETF,---,---,1.3338,1.4098,---,---,1.3270,---
137,159928,汇添富中证主要消费ETF行情,ETF-场内,---,---,4.5915,4.5915,---,---,4.6010,---
138,150227,鹏华银行分级A行情,固定收益,---,---,1.0440,1.2540,---,---,1.0210,---
139,150228,鹏华银行分级B行情,分级杠杆,---,---,0.9100,0.9100,---,---,0.9090,---
140,512640,嘉实中证金融地产ETF行情,ETF-场内,---,---,2.1872,2.1872,---,---,2.1860,---
141,150193,鹏华地产分级B行情,分级杠杆,---,---,1.2820,2.3690,---,---,1.2850,---
142,150201,招商中证全指证券公司分级B行情,分级杠杆,---,---,1.5658,0.1418,---,---,1.5840,---
143,150217,交银国证新能源指数分级A行情,固定收益,---,---,1.0360,1.2670,---,---,1.0150,---
144,150218,交银国证新能源指数分级B行情,分级杠杆,---,---,1.7780,0.2490,---,---,1.7640,---
145,150219,前海开源健康分级A行情,固定收益,---,---,1.0170,1.3380,---,---,1.0230,---
146,150229,鹏华酒分级A行情,固定收益,---,---,1.0140,1.2530,---,---,0.9950,---
