,symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
0,sh600000,600000,浦发银行,9.65,-0.05,-0.515,9.65,9.66,9.7,9.67,9.76,9.59,47288884.0,456765639.0,15:00:02,4.949,0.561,28324809.432555,28324809.432555,0.16111
1,sh600004,600004,白云机场,13.17,-0.15,-1.126,13.16,13.17,13.32,13.27,13.3,13.08,8674105.0,114140671.0,15:00:17,27.438,1.656,2725295.116938,2725295.116938,0.41918
2,sh600006,600006,东风汽车,5.24,-0.04,-0.758,5.24,5.25,5.28,5.25,5.35,5.13,28310462.0,147942364.0,15:00:00,23.689,1.385,1048000.0,1048000.0,1.41552
3,sh600007,600007,中国国贸,12.72,-0.1,-0.78,12.72,12.73,12.82,12.86,12.86,12.66,1143100.0,14530426.0,15:00:00,13.113,1.687,1281263.383248,1281263.383248,0.11348
4,sh600008,600008,首创股份,2.98,0.02,0.676,2.97,2.98,2.96,2.96,2.99,2.93,33517598.0,99627447.0,15:00:17,17.675,1.53,2187496.021746,2187496.021746,0.45661
5,sh600009,600009,上海机场,67.88,-1.9,-2.723,67.88,67.9,69.78,69.66,69.66,67.5,15228330.0,1036840053.0,15:00:17,26.008,4.346,13080193.945024,7422517.782836,1.39265
6,sh600010,600010,包钢股份,1.16,-0.01,-0.855,1.16,1.17,1.17,1.16,1.17,1.16,82317928.0,95799997.0,15:00:00,96.667,1.004,5287863.787168,3674556.544092,0.25986
7,sh600011,600011,华能国际,5.02,-0.12,-2.335,5.02,5.03,5.14,5.13,5.16,5.01,22896140.0,115798186.0,15:00:02,83.667,1.04,7880442.866218,5520850.379338,0.20819
8,sh600012,600012,皖通高速,5.23,0.05,0.965,5.15,5.23,5.18,5.17,5.23,5.13,1914700.0,9897425.0,15:00:02,7.904,0.829,867453.03,609608.8,0.16427
9,sh600015,600015,华夏银行,6.29,-0.05,-0.789,6.29,6.3,6.34,6.31,6.38,6.28,24440415.0,154309732.0,15:00:17,4.591,0.461,9678563.885307,8065469.904737,0.1906
10,sh600016,600016,民生银行,5.4,0.0,0.0,5.39,5.4,5.4,5.39,5.46,5.36,81059259.0,436843050.0,15:00:00,4.426,0.517,23642505.99108,19149546.53502,0.22858
11,sh600017,600017,日照港,2.78,0.01,0.361,2.78,2.79,2.77,2.77,2.79,2.76,4800684.0,13346128.0,15:00:02,13.238,0.704,855031.780864,855031.780864,0.15609
12,sh600018,600018,上港集团,4.29,0.0,0.0,4.29,4.3,4.29,4.29,4.31,4.26,10819645.0,46291605.0,15:00:00,10.969,1.204,9941506.42485,9941506.42485,0.04669
13,sh600019,600019,宝钢股份,5.2,-0.01,-0.192,5.19,5.2,5.21,5.19,5.28,5.15,65215911.0,339346814.0,15:00:00,9.286,0.657,11581069.825,11521110.965,0.29435
14,sh600020,600020,中原高速,3.47,0.0,0.0,3.47,3.48,3.47,3.47,3.48,3.46,2436612.0,8452069.0,15:00:00,6.061,0.788,779838.025704,779838.025704,0.10842
15,sh600021,600021,上海电力,7.43,-0.07,-0.933,7.43,7.44,7.5,7.45,7.48,7.43,3695182.0,27517377.0,15:00:02,20.587,1.195,1944552.998371,1744004.004615,0.15743
16,sh600022,600022,山东钢铁,1.38,0.02,1.471,1.37,1.38,1.36,1.37,1.38,1.36,39224970.0,53660976.0,15:00:00,26.087,0.727,1510623.847008,1510623.847008,0.35833
17,sh600023,600023,浙能电力,3.67,0.03,0.824,3.67,3.68,3.64,3.64,3.69,3.62,13620948.0,49796385.0,15:00:00,11.469,0.785,4991453.225596,4991453.225596,0.10015
18,sh600025,600025,华能水电,4.09,-0.03,-0.728,4.09,4.1,4.12,4.09,4.12,4.07,14428432.0,59072470.0,15:00:02,13.279,1.617,7362000.0,3651552.0,0.16161
19,sh600026,600026,中远海能,7.35,0.05,0.685,7.35,7.36,7.3,7.4,7.57,7.35,33656176.0,250468525.0,15:00:00,68.692,0.978,3500578.535475,2010984.152835,1.23011
20,sh600027,600027,华电国际,3.53,-0.02,-0.563,3.52,3.53,3.55,3.54,3.55,3.51,19600396.0,69080559.0,15:00:00,12.172,0.754,3481630.758509,2875447.297709,0.24062
21,sh600028,600028,中国石化,3.92,-0.01,-0.254,3.92,3.93,3.93,3.92,3.93,3.91,40614157.0,159290275.0,15:00:00,8.235,0.685,47459914.181232,37458646.250032,0.0425
22,sh600029,600029,南方航空,5.93,-0.05,-0.836,5.92,5.93,5.98,5.94,6.02,5.82,38219327.0,225750480.0,15:00:02,26.955,1.274,9090276.320235,4810131.615583,0.47117
23,sh600030,600030,中信证券,30.44,0.01,0.033,30.44,30.45,30.43,30.38,30.67,30.1,76701663.0,2328222114.0,15:00:00,30.139,2.235,39349106.232276,29875830.2148,0.7815
24,sh600031,600031,三一重工,26.53,-0.59,-2.176,26.52,26.53,27.12,26.85,26.87,25.9,75787795.0,1987790679.0,15:00:17,19.515,4.502,22486072.529067,22486072.529067,0.89418
25,sh600033,600033,福建高速,2.69,0.0,0.0,2.68,2.69,2.69,2.68,2.69,2.68,1206250.0,3236025.0,15:00:00,8.919,0.794,738243.6,738243.6,0.04395
26,sh600035,600035,楚天高速,2.89,0.0,0.0,2.88,2.89,2.89,2.89,2.9,2.88,2418396.0,6990255.0,15:00:00,6.881,0.741,465323.495389,463671.099741,0.15074
27,sh600036,600036,招商银行,41.19,0.39,0.956,41.18,41.19,40.8,41.0,42.0,40.33,64497499.0,2649384824.0,15:00:00,11.378,1.736,103880544.03052,84970622.103051,0.31266
28,sh600037,600037,歌华有线,11.89,-0.08,-0.668,11.89,11.9,11.97,11.91,12.02,11.79,4639526.0,55155409.0,15:00:02,28.438,1.315,1654823.904076,1654823.904076,0.33335
29,sh600038,600038,中直股份,53.83,0.04,0.074,53.82,53.83,53.79,53.77,54.21,52.71,3638793.0,194546601.0,15:00:02,53.943,3.815,3173153.162228,3173153.162228,0.61729
30,sh600039,600039,四川路桥,4.41,-0.02,-0.451,4.4,4.41,4.43,4.42,4.42,4.36,9611173.0,42275923.0,15:00:00,9.355,0.99,1634048.54991,1592241.74991,0.2662
31,sh600048,600048,保利地产,16.3,0.09,0.555,16.3,16.33,16.21,16.2,16.49,16.15,68195909.0,1115156023.0,15:00:00,6.936,1.365,19506030.72119,19506030.72119,0.56987
32,sh600050,600050,中国联通,4.95,-0.14,-2.75,4.94,4.95,5.09,5.02,5.02,4.92,159523981.0,792328935.0,15:00:02,30.745,1.045,15352719.766065,10642455.843525,0.74198
33,sh600051,600051,宁波联合,10.06,-0.05,-0.495,10.06,10.07,10.11,10.09,10.12,10.01,1824000.0,18336895.0,15:00:00,9.767,1.072,312745.28,312745.28,0.58672
34,sh600052,600052,浙江广厦,3.11,0.0,0.0,3.11,3.12,3.11,3.12,3.14,3.08,2724799.0,8471478.0,15:00:00,2.206,0.802,262544.564451,262544.564451,0.32277
35,sh600053,600053,九鼎投资,25.3,0.39,1.566,25.29,25.3,24.91,24.9,25.43,24.5,2125426.0,53196307.0,15:00:02,13.846,4.099,1096858.224,1096858.224,0.49025
36,sh600054,600054,黄山旅游,8.72,-0.07,-0.796,8.71,8.72,8.79,8.79,8.79,8.66,2038721.0,17759232.0,15:00:02,18.957,1.523,636018.87168,447597.6,0.39718
37,sh600055,600055,万东医疗,13.6,-0.53,-3.751,13.6,13.61,14.13,14.15,14.16,13.54,6269916.0,85544158.0,15:00:00,43.45,3.393,735510.03064,735510.03064,1.15934
38,sh600056,600056,中国医药,14.91,-0.2,-1.324,14.91,14.92,15.11,15.1,15.1,14.86,7710434.0,115084021.0,15:00:02,16.235,1.681,1593111.931194,1592549.323218,0.72188
39,sh600057,600057,厦门象屿,6.22,0.08,1.303,6.2,6.22,6.14,6.18,6.22,6.05,11961367.0,73661297.0,15:00:00,13.822,1.269,1341936.44087,1341936.44087,0.55442
40,sh600058,600058,五矿发展,6.7,-0.02,-0.298,6.68,6.7,6.72,6.68,6.71,6.62,1814293.0,12086168.0,15:00:00,293.86,1.706,718180.17637,718180.17637,0.16926
41,sh600059,600059,古越龙山,9.24,0.01,0.108,9.24,9.25,9.23,9.29,9.32,9.1,6585910.0,60696778.0,15:00:00,35.538,1.79,747076.32846,747076.32846,0.81456
42,sh600060,600060,海信视像,13.32,-0.15,-1.114,13.32,13.35,13.47,13.52,13.52,13.02,7668416.0,101542520.0,15:00:00,31.341,1.169,1742896.987704,1742896.987704,0.58605
43,sh600061,600061,国投资本,14.95,0.1,0.673,14.94,14.95,14.85,14.75,15.11,14.68,20418649.0,303377822.0,15:00:02,21.357,1.556,6319558.941865,6239878.72937,0.48921
44,sh600062,600062,华润双鹤,12.7,-0.08,-0.626,12.7,12.71,12.78,12.71,12.75,12.6,4272429.0,54103434.0,15:00:00,12.557,1.499,1324911.8917,1324911.8917,0.40954
